,cost,meters,rooms,dist,floor
1418,407000.0,39.22,2.0,Jeżyce,0.0
1419,630000.0,66.88,3.0,Jeżyce,0.0
1420,560000.0,56.6,3.0,Jeżyce,4.0
1421,588000.0,64.52,3.0,Jeżyce,0.0
1422,419000.0,43.74,2.0,Jeżyce,3.0
1423,408000.0,45.59,2.0,Jeżyce,0.0
1424,507800.0,50.78,2.0,Grunwald,3.0
1425,629000.0,69.81,4.0,Jeżyce,3.0
1426,428000.0,39.3,2.0,Jeżyce,3.0
1427,620000.0,66.14,3.0,Jeżyce,3.0
1428,521000.0,52.25,3.0,Jeżyce,3.0
1429,551000.0,60.74,3.0,Jeżyce,0.0
1430,547000.0,60.71,3.0,Jeżyce,2.0
1431,532000.0,60.59,3.0,Jeżyce,1.0
1432,553000.0,60.71,3.0,Jeżyce,2.0
1433,583000.0,60.74,3.0,Jeżyce,0.0
1434,510000.0,51.61,3.0,Jeżyce,3.0
1435,506000.0,51.67,3.0,Jeżyce,3.0
1436,542000.0,60.71,3.0,Jeżyce,1.0
1437,609000.0,66.14,3.0,Jeżyce,2.0
1438,614000.0,66.1,3.0,Jeżyce,2.0
1439,515000.0,52.01,3.0,Jeżyce,3.0
1440,404000.0,37.36,2.0,Jeżyce,2.0
1441,604000.0,66.1,3.0,Jeżyce,1.0
1442,534000.0,58.61,3.0,Jeżyce,3.0
1443,427300.0,43.99,2.0,Jeżyce,3.0
1444,523000.0,59.68,3.0,Jeżyce,2.0
1445,597000.0,66.14,3.0,Jeżyce,1.0
1446,505000.0,52.01,3.0,Jeżyce,2.0
1447,401000.0,37.36,2.0,Jeżyce,2.0
1448,537000.0,60.71,3.0,Jeżyce,1.0
1449,591000.0,47.28,3.0,Wilda,6.0
1450,684000.0,76.27,4.0,Nowe Miasto,1.0
1451,698000.0,86.0,4.0,wielkopolskie,0.0
1452,683100.0,59.4,3.0,Wilda,5.0
1453,642390.0,55.86,2.0,Wilda,5.0
1454,665141.0,72.9,3.0,Grunwald,2.0
1455,689540.0,59.96,3.0,Wilda,5.0
1456,491000.0,39.28,2.0,Wilda,6.0
1457,635712.0,67.2,3.0,Grunwald,2.0
1458,396900.0,44.1,3.0,Nowe Miasto,2.0
1459,353650.0,32.15,2.0,Nowe Miasto,0.0
1460,471125.0,37.69,2.0,Wilda,5.0
1461,466750.0,37.34,2.0,Wilda,5.0
1462,572750.0,45.82,2.0,Wilda,5.0
1463,518125.0,41.45,2.0,Wilda,5.0
1464,517625.0,41.41,2.0,Wilda,5.0
1465,687585.0,59.79,3.0,Wilda,5.0
1466,472125.0,37.77,1.0,Wilda,4.0
1467,680915.0,59.21,3.0,Wilda,4.0
1468,566375.0,45.31,2.0,Wilda,4.0
1469,642850.0,55.9,2.0,Wilda,4.0
1470,466750.0,37.34,2.0,Wilda,4.0
1471,680685.0,59.19,3.0,Wilda,3.0
1472,472125.0,37.77,1.0,Wilda,3.0
1473,471125.0,37.69,2.0,Wilda,3.0
1474,642850.0,55.9,2.0,Wilda,3.0
1475,466750.0,37.34,2.0,Wilda,3.0
1476,466500.0,37.32,2.0,Wilda,3.0
1477,572750.0,45.82,2.0,Wilda,3.0
1478,594875.0,47.59,2.0,Wilda,3.0
1479,448944.0,47.76,3.0,Stare Miasto,4.0
1480,640435.0,55.69,2.0,Wilda,3.0
1481,605625.0,48.45,2.0,Wilda,3.0
1482,517250.0,41.38,2.0,Wilda,3.0
1483,688620.0,59.88,3.0,Wilda,3.0
1484,517625.0,41.41,2.0,Wilda,3.0
1485,687585.0,59.79,3.0,Wilda,3.0
1486,683100.0,59.4,3.0,Wilda,3.0
1487,680685.0,59.19,3.0,Wilda,2.0
1488,472375.0,37.79,1.0,Wilda,2.0
1489,566375.0,45.31,2.0,Wilda,2.0
1490,642850.0,55.9,2.0,Wilda,2.0
1491,466750.0,37.34,2.0,Wilda,2.0
1492,572500.0,45.8,2.0,Wilda,2.0
1493,594875.0,47.59,2.0,Wilda,2.0
1494,640435.0,55.69,2.0,Wilda,2.0
1495,605625.0,48.45,2.0,Wilda,2.0
1496,517250.0,41.38,2.0,Wilda,2.0
1497,688620.0,59.88,3.0,Wilda,2.0
1498,683100.0,59.4,3.0,Wilda,2.0
1499,472375.0,37.79,1.0,Wilda,1.0
